Comment,Bully
heran deh maki sih via bawa asa ya wajar dese bawa asa udin muak orang munafik sok an dese kabar bawa asa laki orang sadar puja att gotong royong nasihat att gila muja att mojokin viaa dese manusia kali ah,1
bagus dandan natural permak kayak anak jaman now,0
kasihan anak anak rusak kayak emaknya ya,0
min doa mudah lancar selamat lahir mei amin,0
sih iya banget coba ya seandaix anak anak video sp video kreativ bagus video mesum ngelem bau negativ bikin dosa malu o,0
geblek tata cowok banget dibela2in hadeww tinggal salah cowok kitenya beloon,1
aduh geulis kitu tinggal duuuhhhh haha jodoh allah kasih teeeh,0
untung bella orang orang fokus komen laki coba model baju dicerahami warganet,0
percaya gimik raffi gigi att att pese a keluarga hujad anak nya hujad kesini tonton bodohin publik te uju kasihan penghujad ayu pesbukers biar ngeluarkn album single a is nengri gimik iya,1
manusia harga tulis tulis sakit hati orang ya tulis media sosial ya guys,0
nama iya sih jujur fan nia pas tenar banget sinteronnya urus keluarga salut muda ya itungannya beda 2 3 t,0
wkwk ya allah ya tuhan ku orang orang munafik nih sok suci mulan jamela ayu ting2 ngikuti jejak a wkwk nama,1
kayak becus permpuan becus perempuan suka laki orang hehe,1
cewex cantik cowox mmmmhh hehe,0
gemulai nya momo bak putri keraton jawa moga nya maut pisah gbu,0
nama km kampung pakai kerudung mulut cih,1
noraaak abiiis kebel emas az pamer main berlian ciiinnnnn,1
bagus cari ilmu suami orang didik,0
nama wkwk cerita kayak ajar nih swamik swamik pilih rebut laki orang istri pe hancuuurr bookk bohong deh kere kismin nyungsep atur rezeki tuha,1
nama iya salam kenal iya mbak senang kenal mbak manusia iya manusia tau sombong gede mentang mentang a is haha iya mbak pergi iya komen foto nih korban sel,0
gagah kali abang borisq baca nmx tau it bang bor,0
najis philipine banget kali bangga usak moral bangga najis banget lihat komen nya ngetop nitezerrre wkwk harap laku,1
nama lihat lihat main prasangka kayak hater kayak dukun dukun titis dajjal sok pintar otak kosong maaf iya gue bala nabi muhammad percaya ditunjukkin 4 saksi bukti,1
nama sok high class mbak lihat komenmu a is beda beda mbak suka curhat instagram curhat teman curhat tuhan mulut situ maju otak pikir curh,1
cewek gosong abu bakar pabrik viral kemarin brguna otak modal kangkang gebet laki orang bangga by the way instagram story nya sindir bin tua eh at least biar becus prewi becus cuii emak bukti anak nya bejibun pro emaknya,1
anak babi bangsat sumpel timah panas congor biar modar,1
gilaaaaa rebut laki orang banget laki laki gatal alas poligam woiii pikir pakai otak aduh pikir orang pintar tau agama buruk allah uji setia nafsu eh kayak sakit istri tutup pintu rejekimu anak istri korban orang imam keluarga gagal mmpe ahankan rumah tangga coreng nama nya orang suka benci,1
marah sehhh dasar wanita kampung,1
and after pasca operasi plastik akibat ya jelek seram muka ahahahhaha,1
najiiisss kayak sih mbak dese haha maling teriak maling kaca buuuuuk,1
kasihan ih cari uang,1
haha kasihan ya becus rem rebut laki orang biar perempuan dasar perempuan sadar coy,1
milik cucu2 rupa bahagia nilai cucu generasi bangsa,0
jijik lihat kayak ulet bulu kluget2 hihi sgitunya kenal,1
mah pe emuan buah ranum buah busuk tau busuk manah mentok2nya rebut laki orang,1
bagus banget baju anti happy weding,0
nama karya situ karya karya nyinyir hidup via tolol,1
senang lihat susilo bambang yudhoyono nikmat tua cucu cinta sehat ya memo pepo allah subhanahu wa taala lindung memo pepo keluarga kisss,0
suka banget pasang moga gigi raffi keluarga sakinnah mawaddah warrahmah moga pihak2 pisah jodoh maut pisah amin,0
laki laki ya sis suka pecun2 murah perempuan jilbab pintar enji2 downgrade sih dangdut kelas perempuan jilbab eh pilih pecun jelek selera,1
tenar ya ampuuun malu anak ya kasihan,1
norak sih kayak malu bilang serah ya simpan foto orang pamer resiko nyinyir orang insecure banget ya pamer2 biar orang nge i sih mbak py pacar dipamer2 pantat kampung banget,1
enakk musik nya lhatt kakak agnes nya dance kayak nya nyamaann enakk banget kaya nya,0
cantik sih hebat nih laki ciwik nya cakap cakap lo,0
gimmick bodoh banget sih ayu rating popularitas berani taruhin harga nilai buruk mata masyarakat,1
dengar 2 sakit hati tenang janani pilih andah bahagia hati maju sukses pasang mu,0
muantepp ganteng selamat tempuh hidup mg langgeng rumah tanggax bahagia selladem ayem,0
najis najis homo orang kayak musnah muka bumi,1
moga mah bella mah pas,0
proud of kak dea patut bangga,0
